Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pioglitazone CTD 00002515	1/111	0.41792261403341746	0.5876653766247029	0	0	1.8743371212121211	1.6352822857274976	TFAM
prenylamine PC3 UP	1/111	0.41792261403341746	0.5876653766247029	0	0	1.8743371212121211	1.6352822857274976	C8ORF44-SGK3
rifabutin MCF7 DOWN	1/111	0.41792261403341746	0.5876653766247029	0	0	1.8743371212121211	1.6352822857274976	UTP20
sulforaphane CTD 00000857	1/111	0.41792261403341746	0.5876653766247029	0	0	1.8743371212121211	1.6352822857274976	YWHAB
beta-Levulose BOSS	1/112	0.42076143933684684	0.5899370833090726	0	0	1.8573573573573574	1.6078943131155696	NLK
Demecolcine CTD 00005762	5/876	0.4207684723497452	0.5899370833090726	0	0	1.1875405580791694	1.0280212554084365	CBX3;USP34;BUB3;SMC3;UBE2J1
salicylic acid BOSS	1/113	0.42358656159272895	0.5930211862298205	0	0	1.8406808035714286	1.5811400061709446	YME1L1
Healon BOSS	1/115	0.42919595828676704	0.5999984314825213	0	0	1.8082054093567252	1.52945551049838	NLK
helveticoside HL60 UP	2/301	0.43019801694918886	0.6005238693657527	0	0	1.380320366132723	1.1643135789619168	MED1;ZNF24
Sorafenib	1/116	0.43198036271709944	0.6012614917934664	0	0	1.7923913043478261	1.5044887171577552	NLK
puromycin MCF7 DOWN	1/116	0.43198036271709944	0.6012614917934664	0	0	1.7923913043478261	1.5044887171577552	BICD2
mitoxantrone MCF7 DOWN	3/497	0.4346087199136243	0.6016255696351908	0	0	1.253919372900336	1.0449024832048492	ELF1;TTF1;FBXO9
camptothecin CTD 00005566	1/117	0.4347513240429481	0.6016255696351908	0	0	1.7768498563218391	1.480082312716934	RAD50
suloctidil MCF7 UP	1/117	0.4347513240429481	0.6016255696351908	0	0	1.7768498563218391	1.480082312716934	FKBP14
acetaldehyde BOSS	1/117	0.4347513240429481	0.6016255696351908	0	0	1.7768498563218391	1.480082312716934	ACOX1
daunorubicin MCF7 DOWN	7/1290	0.4362310001484184	0.6028033561128721	0	0	1.12877803758552	0.9364154760785528	BRAP;ELF1;TLK2;ZNF22;RSF1;TTF1;UBE2J1
anisomycin MCF7 DOWN	2/307	0.44012819323051255	0.6073135788605202	0	0	1.3527523727351165	1.1101893251460273	UNC119B;BICD2
luteolin CTD 00007430	1/120	0.4429841900396306	0.6103762043793185	0	0	1.7317927170868348	1.41006234074558	RECQL
Fulvestrant CTD 00002740	2/310	0.4450584904609829	0.6123545083961013	0	0	1.3393711551606289	1.0842873376613218	TFAM;MYH10
MG-262 MCF7 UP	2/312	0.448332217348307	0.6155767681812875	0	0	1.3305942275042444	1.0674303188313612	BRAP;OSBPL1A
lycorine PC3 UP	3/508	0.44868421372129297	0.6155767681812875	0	0	1.2259111017484727	0.9824892270675198	BRAP;ELF1;PTPN2
ARSENIC BOSS	1/123	0.45109836214788235	0.6180047561425989	0	0	1.6889515027322404	1.34452339539731	NLK
PKC-412 Kinome Scan	1/125	0.45644270647990803	0.62443445865083	0	0	1.6615423387096775	1.3031345182548975	EIF2AK4
N-NITROSODIMETHYLAMINE CTD 00005845	1/126	0.45909553395645536	0.6253872401480692	0	0	1.6481666666666666	1.2830927323169299	BUB3
valproic acid MCF7 UP	1/126	0.45909553395645536	0.6253872401480692	0	0	1.6481666666666666	1.2830927323169299	ANP32A
citric acid BOSS	1/126	0.45909553395645536	0.6253872401480692	0	0	1.6481666666666666	1.2830927323169299	NLK
AZD4547 LINCS	1/128	0.46436280723937656	0.6307704421282749	0	0	1.6220472440944882	1.2442547932916337	EIF2AK4
L-histidine BOSS	1/128	0.46436280723937656	0.6307704421282749	0	0	1.6220472440944882	1.2442547932916337	EIF2AK4
Tetradioxin CTD 00006848	19/3768	0.46596610256548177	0.6308277434914688	0	0	1.049599551333347	0.8015187086405731	UNC119B;HIP1;FKBP14;ABHD2;YIPF5;M6PR;SMC3;NLK;BICD2;ELF1;SPTLC2;GPAM;ACOX1;TFAM;TRIP11;PKP4;UTP20;INTS7;OSBPL1A
paclitaxel PC3 UP	1/129	0.4669773752605793	0.6308277434914688	0	0	1.6092936197916667	1.2254360053463933	HDGFRP3
lorazepam BOSS	1/129	0.4669773752605793	0.6308277434914688	0	0	1.6092936197916667	1.2254360053463933	NLK
digitoxigenin HL60 DOWN	4/723	0.4670361813127662	0.6308277434914688	0	0	1.1475914875798225	0.873717113075777	ANP32A;BRCC3;FBXO9;APPL1
digoxin MCF7 UP	2/324	0.4677478168814085	0.6309003606037563	0	0	1.2802222948676039	0.9727461612435198	MED1;RSF1
NSC25485 CTD 00006443	1/130	0.46957931181876345	0.6315940533438907	0	0	1.5967377260981912	1.2070028943628595	PTPN2
colchicine HL60 DOWN	1/130	0.46957931181876345	0.6315940533438907	0	0	1.5967377260981912	1.2070028943628595	UBE2J1
methazolamide HL60 DOWN	1/131	0.47216867746164864	0.634187341296528	0	0	1.584375	1.1889450868592453	BRAP
digitoxigenin MCF7 UP	2/328	0.4741310411234841	0.6349804258819363	0	0	1.2642557313529221	0.9434780683390676	ZC3H7A;RSF1
lindane CTD 00001115	1/132	0.4747455321765884	0.6349804258819363	0	0	1.5722010178117047	1.1712525603570572	TFAM
thiostrepton HL60 UP	1/132	0.4747455321765884	0.6349804258819363	0	0	1.5722010178117047	1.1712525603570572	SPTLC2
thapsigargin PC3 DOWN	2/329	0.47571976709670266	0.635397293378465	0	0	1.2603251247384517	0.9363287103331994	UNC119B;FBXO9
harmine PC3 DOWN	1/133	0.4773099357726425	0.6357503172305058	0	0	1.5602114898989898	1.1539156278180718	DCAF16
Rifampicin CTD 00006701	1/133	0.4773099357726425	0.6357503172305058	0	0	1.5602114898989898	1.1539156278180718	MED1
TG-101348 Kinome Scan	1/134	0.4798619478029911	0.6382629791165998	0	0	1.5484022556390977	1.1369249243446051	EIF2AK4
WH-4-023 LINCS	1/135	0.4824016275965882	0.6407523003672135	0	0	1.536769278606965	1.1202713941539446	NLK
mifepristone CTD 00007083	2/334	0.4836204158638713	0.6414826816230326	0	0	1.2410272669625872	0.9015503946000127	PLOD2;ZNF22
Crizotinib LINCS	1/136	0.4849290339910553	0.6417917450745385	0	0	1.5253086419753086	1.103946279107692	DSTYK
indomethacin CTD 00006147	2/335	0.4851918823556209	0.6417917450745385	0	0	1.2372372372372373	0.8947833724216608	NUFIP2;PKP4
podophyllotoxin HL60 DOWN	1/137	0.48744422583266184	0.6429972662634424	0	0	1.514016544117647	1.087941105369789	UTP20
thapsigargin MCF7 DOWN	1/137	0.48744422583266184	0.6429972662634424	0	0	1.514016544117647	1.087941105369789	BICD2
Crizotinib FDA	1/138	0.48994726144714373	0.6454112963294105	0	0	1.502889294403893	1.072247673884182	DSTYK
ACROLEIN CTD 00005313	1/139	0.4924381989766499	0.6466287403938044	0	0	1.491923309178744	1.0568580486204042	TFAM
67526-95-8 CTD 00007263	5/953	0.49399914810065115	0.6466287403938044	0	0	1.086669877086773	0.7663429458238697	SMIM14;HIBADH;TFAM;MYH10;UBE2J1
pergolide HL60 DOWN	2/341	0.4945592765366733	0.6466287403938044	0	0	1.2149666200900482	0.8554437376789301	UTP20;UBE2J1
strophanthidin HL60 DOWN	2/341	0.4945592765366733	0.6466287403938044	0	0	1.2149666200900482	0.8554437376789301	USP34;FBXO9
iohexol HL60 DOWN	1/140	0.49491709640151454	0.6466287403938044	0	0	1.481115107913669	1.041764546328346	ZNF22
colchicine CTD 00005701	1/140	0.49491709640151454	0.6466287403938044	0	0	1.481115107913669	1.041764546328346	RFC1
doxorubicin CTD 00005874	4/750	0.4956105188435784	0.6466537245863833	0	0	1.104499985586209	0.7753202274434347	RFC1;ZNF22;WDR61;BUB3
cicloheximide MCF7 DOWN	1/141	0.49738401121036085	0.6480859602591523	0	0	1.4704613095238095	1.0269597277990514	FBXO9
BMS-536924,KIN001-126 LINCS	1/142	0.4998390007009253	0.6486876213940255	0	0	1.4599586288416075	1.0124363876503346	EIF2AK4
ouabain HL60 DOWN	3/549	0.49984940455995663	0.6486876213940255	0	0	1.1314589665653496	0.7846084290469559	YME1L1;FBXO9;APPL1
Disodium selenite CTD 00007229	7/1370	0.4998750283734983	0.6486876213940255	0	0	1.057960381511372	0.7335867186997974	DYNC1LI2;RAD50;NEMF;YWHAB;PPP2R5E;BTBD7;ZMYND11
HG-6-64-01 LINCS	1/145	0.5071329867403692	0.6572169382216406	0	0	1.4293258101851851	0.9704865094331012	EIF2AK4
fulvestrant PC3 DOWN	1/146	0.5095408429959366	0.6576711553608388	0	0	1.419396551724138	0.9570214064786052	YIPF5
tonzonium bromide PC3 UP	1/146	0.5095408429959366	0.6576711553608388	0	0	1.419396551724138	0.9570214064786052	ELF1
daunorubicin CTD 00005752	1/146	0.5095408429959366	0.6576711553608388	0	0	1.419396551724138	0.9570214064786052	RECQL
Crizotinib	1/147	0.5119370564623147	0.65987585638086	0	0	1.4096033105022832	0.9438049684362376	DSTYK
helveticoside MCF7 UP	2/355	0.5159992290584737	0.6642191418350017	0	0	1.1659460265394364	0.771448197291178	MED1;RSF1
lanatoside C HL60 DOWN	3/563	0.5167848896902942	0.6643387522962362	0	0	1.1023746200607902	0.7277089762057427	YME1L1;BRCC3;FBXO9
thioguanosine MCF7 DOWN	1/150	0.5190563965732178	0.6663655747171564	0	0	1.3810123042505593	0.9055887893277538	SMC3
