gene,logFC,pval,abs_logFC
218892_at,1.142581841929803,1.3886704110931754e-05,1.142581841929803
242273_at,-1.1803395804752927,1.3905991430074454e-05,1.1803395804752927
235791_x_at,-0.8467737808168607,1.3910341042880989e-05,0.8467737808168607
213842_x_at,0.44041824628901693,1.391088786332229e-05,0.44041824628901693
238117_at,0.4993056339811761,1.3918913103459598e-05,0.4993056339811761
238430_x_at,-1.268755511492941,1.3920855888041588e-05,1.268755511492941
233846_at,0.19618040496313727,1.392811789323252e-05,0.19618040496313727
205224_at,0.5761665499643147,1.3938891570971042e-05,0.5761665499643147
225974_at,-0.8551525845800017,1.3954078404134178e-05,0.8551525845800017
209532_at,-0.5468528102537253,1.3961760109435587e-05,0.5468528102537253
237451_x_at,0.21315486628078428,1.3965588445166496e-05,0.21315486628078428
1552287_s_at,-0.8242515755313713,1.3966566500708681e-05,0.8242515755313713
213057_at,0.8173233967419593,1.3977980845856804e-05,0.8173233967419593
235912_at,0.960391719550981,1.399344902235379e-05,0.960391719550981
226097_at,0.2734701283513723,1.4007311976624642e-05,0.2734701283513723
218077_s_at,0.6791795508572536,1.4011350363052288e-05,0.6791795508572536
207495_at,-0.8926929826443146,1.4033098049227746e-05,0.8926929826443146
213820_s_at,1.1783433636709808,1.4033583178069503e-05,1.1783433636709808
218384_at,0.8496325177721555,1.4042569651413216e-05,0.8496325177721555
228218_at,-1.5687063456533337,1.4055110626654145e-05,1.5687063456533337
218824_at,-1.9237270719521575,1.4055987640559412e-05,1.9237270719521575
241379_at,-0.6172721342101961,1.4056963441739898e-05,0.6172721342101961
234133_s_at,0.475576308976863,1.406501178132338e-05,0.475576308976863
235352_at,-1.2085978573066676,1.4068475320535774e-05,1.2085978573066676
229332_at,0.42709712307058867,1.4073704824240825e-05,0.42709712307058867
226754_at,-0.5275905729176475,1.4076540788295238e-05,0.5275905729176475
1558075_at,0.7329404665960788,1.4104931935242924e-05,0.7329404665960788
203727_at,0.47954114799842973,1.4111971857806732e-05,0.47954114799842973
225539_at,-0.7407681781705904,1.4122933070305158e-05,0.7407681781705904
223434_at,-1.2591572103054904,1.4129887504761591e-05,1.2591572103054904
226766_at,-1.4004693050113715,1.4132979303532436e-05,1.4004693050113715
223269_at,-0.6019844361376485,1.4139397395294826e-05,0.6019844361376485
229973_at,-1.2233037628960797,1.4150420695890129e-05,1.2233037628960797
219170_at,0.4170083606894104,1.415880382938061e-05,0.4170083606894104
225210_s_at,-0.6381287482929441,1.416612838681935e-05,0.6381287482929441
216973_s_at,0.5311605685654897,1.417869802412087e-05,0.5311605685654897
220969_s_at,0.8167924200945098,1.4182581436134009e-05,0.8167924200945098
233458_at,0.6656889346913726,1.4202711458729621e-05,0.6656889346913726
227447_at,-0.6575596205035286,1.4214285314602e-05,0.6575596205035286
