sig_id,drug,pert_id,similarity_scores
CPC014_PC3_6H:BRD-K99369265-001-01-4:10,sirolimus,BRD-K99369265-001-01-4,0.02
CPC017_MCF7_6H:BRD-K63150726-001-01-3:10,JTE-907,BRD-K63150726-001-01-3,0.02
CPC018_A375_6H:BRD-A43940795-001-03-6:10,tetrahydropalmatine,BRD-A43940795-001-03-6,0.02
CPC012_SKB_24H:BRD-K32896438-001-01-8:10,BRD-K32896438,BRD-K32896438-001-01-8,0.02
CPC019_PC3_24H:BRD-K73945663-001-01-9:10,BRD-K73945663,BRD-K73945663-001-01-9,0.02
CPC019_VCAP_6H:BRD-K83509924-001-01-6:10,BRD-K83509924,BRD-K83509924-001-01-6,0.02
CPC008_HT29_6H:BRD-K00910650-001-01-6:10,BRD-K00910650,BRD-K00910650-001-01-6,0.02
CPC016_NPC_24H:BRD-K80348542-001-01-4:10,cephaeline,BRD-K80348542-001-01-4,0.02
CPC004_VCAP_24H:BRD-A83326220-001-04-2:10,brazilin,BRD-A83326220-001-04-2,0.02
CPC018_HT29_6H:BRD-A28970875-300-03-1:10,puromycin,BRD-A28970875-300-03-1,0.02
CPC008_VCAP_24H:BRD-K44432556-001-03-0:10,VU-0418946-1,BRD-K44432556-001-03-0,0.02
CPC012_HA1E_6H:BRD-K94991378-001-02-2:10,BRD-K94991378,BRD-K94991378-001-02-2,0.02
CPC012_MCF7_6H:BRD-K32896438-001-01-8:10,BRD-K32896438,BRD-K32896438-001-01-8,0.02
CPC014_PHH_24H:BRD-K85493820-001-01-6:10,KM-00927,BRD-K85493820-001-01-6,0.02
CPC001_VCAP_6H:BRD-A96897502-001-02-0:10,U-74389F,BRD-A96897502-001-02-0,0.02
CPC004_HT29_6H:BRD-K12539581-001-14-6:10,nocodazole,BRD-K12539581-001-14-6,0.02
CPC012_NEU_24H:BRD-K70771662-001-01-3:10,BRD-K70771662,BRD-K70771662-001-01-3,0.02
CPC017_A549_24H:BRD-A54927599-001-07-8:10,KF-38789,BRD-A54927599-001-07-8,0.02
CPC019_A375_6H:BRD-K08448573-001-01-3:10,BRD-K08448573,BRD-K08448573-001-01-3,0.02
CPC016_MCF7_24H:BRD-K67537649-001-01-1:10,PQ-401,BRD-K67537649-001-01-1,0.02
CPC019_HT29_6H:BRD-K96076993-001-01-7:10,SA-25547,BRD-K96076993-001-01-7,0.02
CPC011_MCF7_24H:BRD-A23359898-001-06-2:10,sibutramine,BRD-A23359898-001-06-2,0.02
CPC006_HT29_6H:BRD-K37865504-001-02-5:10,LY-2183240,BRD-K37865504-001-02-5,0.02
CPC007_HA1E_24H:BRD-K05402890-001-09-2:10,BRD-K05402890,BRD-K05402890-001-09-2,0.02
CPC004_PC3_24H:BRD-K96799727-001-01-7:10,pifithrin-mu,BRD-K96799727-001-01-7,0.02
CPC014_MCF7_24H:BRD-K09436313-001-01-2:10,prostaglandin,BRD-K09436313-001-01-2,0.02
CPC013_HT29_6H:BRD-K85266146-001-01-3:10,BRD-K85266146,BRD-K85266146-001-01-3,0.02
CPC003_PC3_24H:BRD-K12357156-001-01-5:10,AG-490,BRD-K12357156-001-01-5,0.02
